,origin,destination,count,delay_rate,avg_delay,avg_diff_flt,dep_arr_count
293,KMIA,SEGU,36,0.7978142076502732,19.30391621129326,-0.5652777777777777,693.0
294,KMIA,SEQM,36,0.7978142076502732,19.30391621129326,4.083333333333333,693.0
295,KMIA,SKBO,39,0.7978142076502732,19.30391621129326,-6.534615384615388,693.0
296,KMLB,KMIA,9,1.0,263.65833333333336,4.888888888888888,18.0
297,KMOB,KIAH,15,0.2,4.2,-0.23333333333333162,15.0
298,KMSP,EGLL,15,0.8142857142857143,16.437261904761893,6.933333333333349,546.0
299,KMSP,KAUS,36,0.8142857142857143,16.437261904761893,1.0055555555555553,546.0
300,KMSP,KBIS,21,0.8142857142857143,16.437261904761893,4.764285714285715,546.0
301,KMSP,KBOS,36,0.8142857142857143,16.437261904761893,7.469444444444441,546.0
302,KMSP,KDEN,6,0.8142857142857143,16.437261904761893,1.94166666666667,546.0
303,KMSP,KDFW,36,0.8142857142857143,16.437261904761893,-15.356944444444443,546.0
304,KMSP,KDTW,18,0.8142857142857143,16.437261904761893,0.5222222222222234,546.0
305,KMSP,KFAR,18,0.8142857142857143,16.437261904761893,-0.7472222222222223,546.0
306,KMSP,KIAH,36,0.8142857142857143,16.437261904761893,2.290277777777779,546.0
307,KMSP,KJFK,15,0.8142857142857143,16.437261904761893,2.9833333333333316,546.0
308,KMSP,KLAX,36,0.8142857142857143,16.437261904761893,0.5138888888888881,546.0
309,KMSP,KLNK,6,0.8142857142857143,16.437261904761893,-32.483333333333334,546.0
310,KMSP,KMDW,6,0.8142857142857143,16.437261904761893,-10.883333333333333,546.0
311,KMSP,KPDX,36,0.8142857142857143,16.437261904761893,4.526388888888886,546.0
312,KMSP,KPHX,54,0.8142857142857143,16.437261904761893,6.949074074074072,546.0
313,KMSP,KSEA,39,0.8142857142857143,16.437261904761893,7.069230769230773,546.0
314,KMSY,KLAX,6,0.5,1.5,2.941666666666663,96.0
315,KOAK,KBUR,6,0.631578947368421,9.900877192982456,17.0,126.0
316,KOAK,KLAS,9,0.631578947368421,9.900877192982456,-5.56111111111111,126.0
317,KOAK,KMSP,6,0.631578947368421,9.900877192982456,-1.7666666666666664,126.0
318,KOAK,KPDX,6,0.631578947368421,9.900877192982456,6.5,126.0
319,KOAK,KPHX,12,0.631578947368421,9.900877192982456,-1.529166666666665,126.0
320,KOAK,KSAN,9,0.631578947368421,9.900877192982456,-2.727777777777779,126.0
321,KOAK,KSLC,6,0.631578947368421,9.900877192982456,-10.416666666666664,126.0
322,KONT,KOAK,6,0.0,0.0,0.758333333333333,18.0
323,KORD,EDDM,36,0.9786096256684492,37.53565062388594,-3.3888888888888857,1023.0
324,KORD,KAVP,39,0.9786096256684492,37.53565062388594,-20.558974358974353,1023.0
325,KORD,KBOS,72,0.9786096256684492,37.53565062388594,3.023611111111109,1023.0
326,KORD,KCMH,33,0.9786096256684492,37.53565062388594,-25.01969696969697,1023.0
327,KORD,KDCA,6,0.9786096256684492,37.53565062388594,7.424999999999997,1023.0
328,KORD,KDEN,18,0.9786096256684492,37.53565062388594,1.1722222222222196,1023.0
329,KORD,KDFW,36,0.9786096256684492,37.53565062388594,-5.579166666666666,1023.0
330,KORD,KDTW,51,0.9786096256684492,37.53565062388594,-7.205882352941176,1023.0
331,KORD,KEWR,9,0.9786096256684492,37.53565062388594,-2.949999999999998,1023.0
332,KORD,KFLL,39,0.9786096256684492,37.53565062388594,-1.5423076923076953,1023.0
333,KORD,KGRR,15,0.9786096256684492,37.53565062388594,-9.779999999999998,1023.0
334,KORD,KGSO,36,0.9786096256684492,37.53565062388594,0.37638888888888994,1023.0
335,KORD,KLGA,15,0.9786096256684492,37.53565062388594,-2.2866666666666644,1023.0
336,KORD,KMIA,39,0.9786096256684492,37.53565062388594,-1.5397435897435865,1023.0
337,KORD,KMSY,39,0.9786096256684492,37.53565062388594,-13.866666666666662,1023.0
338,KORD,KOKC,39,0.9786096256684492,37.53565062388594,-2.8538461538461544,1023.0
339,KORD,KRSW,6,0.9786096256684492,37.53565062388594,-1.8583333333333343,1023.0
340,KORD,KSBN,30,0.9786096256684492,37.53565062388594,-8.57,1023.0
341,KORF,KEWR,15,0.6,8.6,-5.993333333333335,42.0
342,KPDX,KBIL,33,0.6631578947368421,13.181228070175433,-0.451515151515153,387.0
343,KPDX,KDEN,6,0.6631578947368421,13.181228070175433,5.766666666666665,387.0
344,KPDX,KLAS,27,0.6631578947368421,13.181228070175433,-7.096296296296297,387.0
345,KPDX,KMFR,6,0.6631578947368421,13.181228070175433,7.150000000000001,387.0
346,KPDX,KMSO,36,0.6631578947368421,13.181228070175433,2.4805555555555556,387.0
347,KPDX,KOAK,6,0.6631578947368421,13.181228070175433,-8.333333333333336,387.0
348,KPDX,KONT,6,0.6631578947368421,13.181228070175433,-4.025000000000006,387.0
349,KPDX,KRNO,39,0.6631578947368421,13.181228070175433,7.738461538461538,387.0
350,KPDX,KSEA,36,0.6631578947368421,13.181228070175433,-2.581944444444445,387.0
351,KPDX,KSFO,18,0.6631578947368421,13.181228070175433,-5.88888888888889,387.0
352,KPDX,KSLC,18,0.6631578947368421,13.181228070175433,4.758333333333333,387.0
353,KPDX,MMGL,6,0.6631578947368421,13.181228070175433,-2.566666666666663,387.0
354,KPHL,CYOW,54,0.861271676300578,26.45886319845858,31.20740740740739,615.0
355,KPHL,EGLL,36,0.861271676300578,26.45886319845858,-1.6347222222222229,615.0
356,KPHL,EGPF,36,0.861271676300578,26.45886319845858,-2.5388888888888865,615.0
357,KPHL,KALB,33,0.861271676300578,26.45886319845858,-12.477272727272727,615.0
358,KPHL,KBOS,36,0.861271676300578,26.45886319845858,-6.6819444444444445,615.0
359,KPHL,KDAY,36,0.861271676300578,26.45886319845858,0.20416666666666602,615.0
360,KPHL,KDEN,24,0.861271676300578,26.45886319845858,-3.3395833333333336,615.0
361,KPHL,KMDT,36,0.861271676300578,26.45886319845858,-19.191666666666666,615.0
362,KPHL,KPHL,6,0.861271676300578,26.45886319845858,-60.75,615.0
363,KPHL,KRDU,39,0.861271676300578,26.45886319845858,-2.8602564102564108,615.0
364,KPHL,KRSW,39,0.861271676300578,26.45886319845858,-18.51666666666667,615.0
365,KPHL,KSTL,36,0.861271676300578,26.45886319845858,-6.833333333333337,615.0
366,KPHL,LEBL,36,0.861271676300578,26.45886319845858,-1.6805555555555527,615.0
367,KPHL,LEMD,36,0.861271676300578,26.45886319845858,-1.1375000000000073,615.0
